price,address,bds,ba,sqft,image
"$698,000","143 Darlington Ave, Staten Island, NY 10312",4,2,"2,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,240,000","173 Hicks St #6D, Brooklyn, NY 11201",2,2,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$645,000","24844 89th Ave, Jamaica, NY 11426",3,2,"1,440","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$830,000","9 Boyle Pl, Staten Island, NY 10306",3,2,"1,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$384,999","337 Parkinson Ave, Staten Island, NY 10305",2,2,884,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$350,000","3101 Wissman Ave, Bronx, NY 10465",3,1,780,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$13,970,012","232 E 35th St, New York, NY 10016",9,6,"8,240","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$999,999","121 Hart St, Brooklyn, NY 11206",6,2,"2,164",https://photos.zillowstatic.com/fp/5a5b7a69828b8741ec14366048656820-p_e.jpg
"$690,000","8043 262nd St, Glen Oaks, NY 11004",3,3,"5,000",https://photos.zillowstatic.com/p_e/ISbpp5g3jr362a1000000000.jpg
"$1,195,000","89 State St APT 4, Brooklyn, NY 11201",2,1,--,https://photos.zillowstatic.com/fp/61b6e19ce93af4b3f8a475a1465389d2-p_e.jpg
"$589,000","219 Lyndale Ave, Staten Island, NY 10312",3,1,900,N/A
"$519,000","333 E 53rd St APT 7C, New York, NY 10022",1,1,"118,694",https://photos.zillowstatic.com/p_e/ISr1y8b1xql9ss1000000000.jpg
